turbine,sensor,time_stamp,name,component,characteristic,target_frequency_hz,amplitude
data-WTG515,6,1459058400000,1459058400000_1459058400000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,547.6236295195641,0.0023010497678417723
data-WTG515,6,1459058400000,1459058400000_1459058400000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,1095.2472590391283,0.0019810281760454943
data-WTG515,6,1454911200000,1454911200000_1454911200000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,250.39259286775632,0.0007706898487718969
data-WTG515,6,1454911200000,1454911200000_1454911200000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,281.8428702327885,0.00039328245345266404
data-WTG515,6,1454911200000,1454911200000_1454911200000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,4.838504210004953,8.916607491090995e-05
data-WTG515,6,1454911200000,1454911200000_1454911200000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,187.49203813769194,0.0005767180776938549
data-WTG515,6,1454911200000,1454911200000_1454911200000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,532.2354631005448,0.0003152936836023749
data-WTG515,6,1454911200000,1454911200000_1454911200000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,1064.4709262010897,0.003408357690886866
data-WTG515,6,1454975400000,1454976000000_1454975400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,329.08137704309064,0.009402541303035573
data-WTG515,6,1454975400000,1454976000000_1454975400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,370.41526981178805,0.0004378899550964033
data-WTG515,6,1454975400000,1454976000000_1454975400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,6.359060425953443,0.00019559547210550753
data-WTG515,6,1454975400000,1454976000000_1454975400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,246.41359150569588,0.0006688882698827841
data-WTG515,6,1454975400000,1454976000000_1454975400000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,699.4966468548787,0.00023305203608999547
data-WTG515,6,1454975400000,1454976000000_1454975400000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,1398.9932937097574,
data-WTG515,6,1454831100000,1454846400000_1454831100000_21600_HPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,307.34096879643386,0.0007906555730985325
data-WTG515,6,1454831100000,1454846400000_1454831100000_21600_HPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,345.94418226844977,0.0010651822866180882
data-WTG515,6,1454831100000,1454846400000_1454831100000_21600_HPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,5.938955918771669,0.00024666051840394624
data-WTG515,6,1454831100000,1454846400000_1454831100000_21600_HPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,230.13454185240218,0.0006538421798266904
data-WTG515,6,1454831100000,1454846400000_1454831100000_21600_HPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,653.2851510648836,0.00035576518614681017
data-WTG515,6,1454831100000,1454846400000_1454831100000_21600_HPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,1306.5703021297672,
data-WTG515,6,1454824500000,1454824800000_1454824500000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,351.25236887072805,0.0041635799917613845
data-WTG515,6,1454824500000,1454824800000_1454824500000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,395.37102389796934,0.00038702809079197754
data-WTG515,6,1454824500000,1454824800000_1454824500000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,6.78748538880634,0.0006932020477664041
data-WTG515,6,1454824500000,1454824800000_1454824500000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,263.01505881624564,0.0005216704799778297
